link,title,district,description,price
https://www.list.am/item/20197969,"Աջափնյակ, 3 սեն., 80 ք.մ., 3/16 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, 16 թաղամաս, 80 ք.մ., 3/16 հարկ, կապիտալ վերանորոգված",97000
https://www.list.am/item/20612023,"Աջափնյակ, 3 սեն., 80 ք.մ., 3/9 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Abelyan Street, 80 ք.մ., 3/9 հարկ, կապիտալ վերանորոգված",115000
https://www.list.am/item/18851985,"Աջափնյակ, 3 սեն., 70 ք.մ., 2/4 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Շինարարների փողոցում, 70 ք.մ., 2/4 հարկ, կապիտալ վերանորոգված, քարե շենք",110000
https://www.list.am/item/19542579,"Աջափնյակ, 3 սեն., 77 ք.մ., 3/4 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Լենինգրադյան փողոցում, 77 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգված",145000
https://www.list.am/item/17725752,"Աջափնյակ, 3 սեն., 72 ք.մ., 1/13 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Աջափնյակում, 72 ք.մ., բարձր առաստաղներ, 1/13 հարկ",99000
https://www.list.am/item/18289444,"Աջափնյակ, 3 սեն., 75 ք.մ., 1/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Բաշինջաղյան փողոցում, 75 ք.մ., 1/5 հարկ, կապիտալ վերանորոգված, քարե շենք",140000
https://www.list.am/item/20532359,"Աջափնյակ, 3 սեն., 80 ք.մ., 1/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Բաշինջաղյան փողոցում, 80 ք.մ., 1/5 հարկ, կապիտալ վերանորոգված, քարե շենք",105000
https://www.list.am/item/20422134,"Աջափնյակ, 4 սեն., 75 ք.մ., 10/16 հարկ",Աջափնյակ,"4 սենյականոց բնակարան, Նորաշեն թաղամաս, 75 ք.մ., 10/16 հարկ, կապիտալ վերանորոգված",125000
https://www.list.am/item/19613458,"Աջափնյակ, 3 սեն., 78 ք.մ., 9/12 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում, Arzumanyan Street, 78 ք.մ., բարձր առաստաղներ, 9/12 հարկ",235000
https://www.list.am/item/20752267,"Աջափնյակ, 3 սեն., 71 ք.մ., 2/4 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Լենինգրադյան փողոցում, 71 ք.մ., 2/4 հարկ, կապիտալ վերանորոգված, քարե շենք",135000
https://www.list.am/item/14838426,"Աջափնյակ, 3 սեն., 76 ք.մ., 15/16 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Բաշինջաղյան փողոցում, 76 ք.մ., նախավերջին հարկ, բարձր առաստաղներ",115000
https://www.list.am/item/14101923,"Աջափնյակ, 3 սեն., 80 ք.մ., 7/12 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Մազմանյան փողոցում, 80 ք.մ., բարձր առաստաղներ, 7/12 հարկ",110000
